id,s1_cis,t1_cis,exchange_integral,dsp_scf,dsp_cis,homo_lumo_overlap,oscillator_strength,run_time,smiles,s1_ref,t1_ref,t1_s1_ref,oscillator_strength_ref
132,0.040537517,0.034448468,0.004761772,-0.015194937,-0.010673558,0.316373335,0.00978458,0.023620897,CC1=CN=C2N=CC=C3C=CC=C1N23,1.535823,1.67019,-0.134367,0.003025
133,0.045031198,0.04111942,0.003286541,-0.01591614,-0.011113285,0.240003982,0.006779898,0.019133868,NC1=CC2=CC=NC3=NC=CC(=C1)N23,1.860428,2.040804,-0.180376,0.000112
134,0.047671614,0.039117958,0.005716031,-0.014650674,-0.010336857,0.362401116,0.015169295,0.024986487,NC1=CC2=CC=CC3=CC=NC(=N1)N23,1.858946,1.935786,-0.07684,0.013063
135,0.042019589,0.030880139,0.006949837,-0.012974969,-0.009187567,0.425808749,0.013560883,0.026649823,NC1=CC=C2C=CN=C3N=CC=C1N23,1.470889,1.53039,-0.059501,0.005723
136,0.040503238,0.031224233,0.005133364,-0.013860185,-0.009776959,0.364981347,0.009415531,0.02693924,NC1=CN=C2N=CC=C3C=CC=C1N23,1.438975,1.525267,-0.086292,0.003098
137,0.045945397,0.041970983,0.003196743,-0.015901929,-0.011100129,0.247604664,0.00648019,0.024484353,CNC1=CC2=CC=NC3=NC=CC(=C1)N23,1.903132,2.073918,-0.170786,0.000529
138,0.0490441,0.039555964,0.005821738,-0.014459523,-0.010213196,0.374515392,0.015180393,0.025667414,CNC1=CC2=CC=CC3=CC=NC(=N1)N23,1.915053,1.960937,-0.045884,0.015832
139,0.039793234,0.032768294,0.005340771,-0.014615429,-0.010279238,0.350833274,0.010783021,0.0261543,CNC1=CC=C2C=CN=C3N=CC=C1N23,1.471691,1.585218,-0.113527,0.00442
140,0.042361571,0.030988887,0.005478322,-0.013250356,-0.00937309,0.396747442,0.009548075,0.026669124,CNC1=CN=C2N=CC=C3C=CC=C1N23,1.457109,1.518973,-0.061864,0.002933
141,0.040289228,0.034422562,0.005519009,-0.0131056,-0.009251735,0.345088059,0.010264795,0.03185474,C=CC1=CC2=CC=NC3=NC=CC(=C1)N23,1.451971,1.566546,-0.114575,0.005318
142,0.040415185,0.034758961,0.004421931,-0.01511009,-0.01060925,0.311791634,0.012858642,0.029691908,C=CC1=CC2=CC=CC3=CC=NC(=N1)N23,1.515649,1.649598,-0.133949,0.005868
143,0.039052919,0.033574826,0.004854616,-0.014610924,-0.010262947,0.322224816,0.010501142,0.023902613,C=CC1=CC=C2C=CN=C3N=CC=C1N23,1.505694,1.646292,-0.140598,0.005109
144,0.039008105,0.033734632,0.004499608,-0.014486065,-0.010180282,0.299383714,0.00956743,0.026425261,C=CC1=CN=C2N=CC=C3C=CC=C1N23,1.507738,1.655458,-0.14772,0.00094
145,0.039715866,0.03428822,0.005297428,-0.013817224,-0.009734736,0.317728515,0.010073992,0.022997745,C#CC1=CC2=CC=NC3=NC=CC(=C1)N23,1.417081,1.527511,-0.11043,0.005173
146,0.040083248,0.034718118,0.00434179,-0.015308285,-0.010742381,0.292428777,0.012630092,0.026886627,C#CC1=CC2=CC=CC3=CC=NC(=N1)N23,1.455951,1.590832,-0.134881,0.003585
