,Unnamed: 0.1,Unnamed: 0,s1_cis,t1_cis,exchange_integral,dsp_scf,dsp_cis,homo_lumo_overlap,oscillator_strength,run_time,rid,nid,smiles,s1_ref,t1_ref,t1_s1_ref,oscillator_strength_ref,id
27826,27839,7036,0.0703478925777645,0.0198916567887152,0.0334779009049273,0.0012627043908089,0.000564893444251,0.6828079743468711,0.0237880865537774,0.3499130949999198,XII,978,N#Cc1c(N)c2cc(C#N)c3nc(N)nc(N)cc3c2c1N,1.8759,1.0458,0.8301,0.1413,XII_978
27827,27840,14930,0.0695589790675086,0.0216336371287155,0.0325158956447445,0.0004537671143922,-8.537481146882654e-05,0.6924017033887634,0.0727836621103446,0.2991917809995357,XII,979,N#Cc1c(N)c2cc(C#N)c3nc(N)nc(N)nc3c2c1N,1.8849,1.2679,0.617,0.174,XII_979
27828,27841,67998,0.0668323014922194,0.0138413951629772,0.0347491401125636,0.0016930007672677,0.0008523292674469,0.7205470088384126,0.0248077385203444,0.3584946779992606,XII,980,N#Cc1c(N)c2cc(C#N)c3nc(N)ncc(C#N)c3c2c1N,1.7962,1.2289,0.5673,0.1124,XII_980
27829,27842,7163,0.0680388403635703,0.0159099209338577,0.0360212696483101,0.0016575647742848,0.000838571647473,0.7018627194112808,0.0204645238827439,0.2996148339998399,XII,981,N#Cc1c(N)c2cc(C#N)c3nc(N)nccc3c2c1N,1.7753,0.9977,0.7776,0.0725,XII_981
27830,27843,30498,0.0693422529533265,0.0206469806334013,0.0329295862803865,0.0007109826414989,8.954579329655277e-05,0.7008542891144676,0.0673837546599764,0.2678224800001771,XII,982,N#Cc1c(N)c2cc(C#N)c3nc(N)ncnc3c2c1N,1.8279,1.2852,0.5427,0.1283,XII_982
27831,27844,11417,0.0638513236403,0.0113947760893609,0.0345966815635092,0.0026331192338925,0.0015171979297588,0.7347302130853307,0.0322433703981928,0.3795728929999313,XII,983,N#Cc1c(N)c2cc(C#N)c3nccc(N)c(C#N)c3c2c1N,1.5801,1.0406,0.5395,0.0987,XII_983
27832,27845,21381,0.0655055893077758,0.0164888199070603,0.0342909129370118,0.002197530729981,0.001272398793187,0.6783479912089191,0.0003715276796647,0.2919706170005156,XII,984,N#Cc1c(N)c2cc(C#N)c3nccc(N)cc3c2c1N,1.5091,0.9217,0.5874,0.0194,XII_984
27833,27846,43882,0.0674542365370456,0.0166014162510776,0.0345273991970538,0.0016051061334573,0.0007396579545395,0.705729229001117,0.0734655128272807,0.2929712870009098,XII,985,N#Cc1c(N)c2cc(C#N)c3nccc(N)nc3c2c1N,1.4893,0.9647,0.5246,0.0973,XII_985
27834,27847,2873,0.0623305535512201,0.0099523504985015,0.0356116181632807,0.0028718643284405,0.0017204390045066,0.728392769427355,0.013021838948139,0.3321894379998866,XII,986,N#Cc1c(N)c2cc(C#N)c3ncccc(C#N)c3c2c1N,1.2473,1.021,0.2263,0.0114,XII_986
27835,27848,36879,0.0640680553522585,0.0134913646675087,0.0363580740250496,0.0024385269989729,0.001449585641079,0.7007042653118357,0.0028244011768694,0.2583772329999192,XII,987,N#Cc1c(N)c2cc(C#N)c3nccccc3c2c1N,1.2759,0.8926,0.3833,0.0041,XII_987
